,Selected Variables,All Variables
const,0.009***,0.051***
,-19.8,-15.18
BEME,0.003***,0.002***
,-16.16,-5.08
E2P,0,-0.001
,-0.84,(-0.96)
EPS,0,-0.000**
,-1.38,(-2.54)
ME,0.000***,0.000***
,-10.58,-46.17
Q,-0.001***,-0.001***
,(-15.67),(-4.99)
ROC,0,0
,(-1.04),(-0.91)
S2P,0.000***,-0.000***
,-9.98,(-2.87)
VOL,0.000***,0.000***
,-20.12,-5.79
be,-0.000***,0
,(-13.43),-0.2
beta,0.003***,-0.007***
,-4.88,(-5.96)
beta_daily,-0.000***,0.001***
,(-2.72),-8.14
beta_sq,-0.003***,0
,(-13.65),-0.18
cum_return_12_2,0,0.001
,-0.53,-0.61
cum_return_60_1,0,-0.006***
,-0.72,(-3.93)
free_cf,0,0
,-0.03,(-1.11)
idio_vol,0.244***,-0.001
,-47.3,(-1.80)
investment,-0.003***,-0.003**
,(-15.33),(-2.47)
lev,-0.004***,-0.002
,(-7.49),(-1.66)
p1_hml_beta,0,0.001***
,-0.36,-6.22
p1_intercept,-0.129***,-0.000**
,(-5.46),(-2.04)
p1_mktrf_beta,-0.000***,-0.001***
,(-4.16),(-6.31)
p1_smb_beta,-0.001***,-0.000***
,(-10.00),(-4.08)
p3_intercept,-0.683***,-0.000**
,(-25.24),(-2.20)
p3_lmktrf_beta,-0.000***,-0.001***
,(-6.41),(-3.64)
p3_mktrf_beta,0.000***,0.002***
,-3.49,-8.18
prof,0.000***,0
,-2.61,-0.62
roe,0,-0.000**
,(-0.52),(-2.08)
sales_g,0,0
,(-1.32),(-0.66)
A2ME,,0
,,-0.75
BEME_adj,,-0.001**
,,(-2.50)
BEME_ind,,0.003***
,,-4.83
CEI,,-0.005***
,,(-3.81)
DEC_ME,,0.000***
,,-3.03
DEC_SHROUT,,-0.000***
,,(-4.40)
Div,,0.006***
,,-4.18
Div_ann,,-0.001**
,,(-2.55)
IOR,,0.009***
,,-7.65
LME,,-0.000***
,,(-44.22)
LME_ind,,-0.000***
,,(-4.93)
LTurnover,,-0.010***
,,(-11.29)
NumOwners,,-0.000***
,,(-3.27)
PRC,,0.000***
,,-2.67
Turnover,,0.013***
,,-40.98
at,,-0.000***
,,(-4.65)
at_adj,,0.000***
,,-4.62
at_ind,,-0.000***
,,(-4.76)
ato,,0
,,-1.5
c,,0.004
,,-1.8
cash_lt,,0
,,(-0.99)
cto,,0.001
,,-1.52
cum_return_12_7,,0.003***
,,-3.11
cum_return_1_0,,-0.003
,,(-1.55)
cum_return_36_13,,-0.002***
,,(-7.21)
cum_return_6_2,,0.009***
,,-6.93
d2a,,-0.001
,,(-1.78)
d_ceq,,0
,,(-0.98)
dpi2a,,0.002
,,-1.24
fc2y,,-0.001**
,,(-2.15)
noa,,-0.004***
,,(-2.61)
oa,,0.002
,,-1.42
ol,,0.001
,,-0.62
p1_n,,-0.001***
,,(-16.66)
p3_n,,-0.001***
,,(-16.66)
pcm,,0
,,(-0.40)
pm,,0.001
,,-0.57
pm_adj,,0.000**
,,-2.47
rel_to_high_price,,0.018***
,,-9.59
ret_max,,-0.003
,,(-1.78)
rna,,0
,,(-1.50)
roa,,0.010***
,,-4.48
roic,,0.007***
,,-3.06
s2c,,0
,,-0.12
s2invt,,0
,,(-0.19)
s2rect,,0
,,(-0.40)
sale,,0
,,(-1.21)
sale_ind,,0
,,(-0.80)
sga2s,,0.002
,,-1.29
spread_mean,,-0.001
,,(-1.26)
std_turn,,0.000***
,,-3.47
std_vol,,0
,,(-1.01)
suv,,0
,,(-1.51)
obs,1761896,326766
Rsq,0,0.02